dataset_id,category,subcategory,indicator,region,year_label,year_num,value,unit,data_kind,source_table
agriculture_crops_official,産業,農業,水稲_作付面積,西条市,令和2年,2020,2890,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,水稲_収穫量,西条市,令和2年,2020,13200,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,水稲_作付面積,西条市,令和3年,2021,2850,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,水稲_収穫量,西条市,令和3年,2021,14700,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,水稲_作付面積,西条市,令和4年,2022,2860,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,水稲_収穫量,西条市,令和4年,2022,15200,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,水稲_作付面積,西条市,令和5年,2023,2820,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,水稲_収穫量,西条市,令和5年,2023,14400,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,水稲_作付面積,西条市,令和6年,2024,2830,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,水稲_収穫量,西条市,令和6年,2024,14200,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,小麦_作付面積,西条市,令和4年,2022,50,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,小麦_収穫量,西条市,令和4年,2022,238,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,小麦_作付面積,西条市,令和5年,2023,50,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,小麦_収穫量,西条市,令和5年,2023,232,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,小麦_作付面積,西条市,令和6年,2024,21,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,小麦_収穫量,西条市,令和6年,2024,71,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_作付面積,西条市,令和2年,2020,962,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_収穫量,西条市,令和2年,2020,3690,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_作付面積,西条市,令和3年,2021,957,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_収穫量,西条市,令和3年,2021,3380,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_作付面積,西条市,令和4年,2022,756,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_収穫量,西条市,令和4年,2022,2220,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_作付面積,西条市,令和5年,2023,774,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_収穫量,西条市,令和5年,2023,2150,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_作付面積,西条市,令和6年,2024,973,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,裸麦_収穫量,西条市,令和6年,2024,1920,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_作付面積,西条市,令和2年,2020,145,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_収穫量,西条市,令和2年,2020,250,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_作付面積,西条市,令和3年,2021,148,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_収穫量,西条市,令和3年,2021,232,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_作付面積,西条市,令和4年,2022,166,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_収穫量,西条市,令和4年,2022,262,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_作付面積,西条市,令和5年,2023,144,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_収穫量,西条市,令和5年,2023,207,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_作付面積,西条市,令和6年,2024,140,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,大豆_収穫量,西条市,令和6年,2024,62,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,ほうれんそう_作付面積,西条市,令和2年,2020,30,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,ほうれんそう_収穫量,西条市,令和2年,2020,240,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,ほうれんそう_作付面積,西条市,令和3年,2021,29,ha,actual,23. 主要農作物
agriculture_crops_official,産業,農業,ほうれんそう_収穫量,西条市,令和3年,2021,242,t,actual,23. 主要農作物
agriculture_crops_official,産業,農業,ほうれんそう_作付面積,西条市,令和4年,2022,27,ha,actual,23. 主要農作物
